Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
India,Angola,2013,EXPIMP,Fuels,8.98,6729562.98,0,98.99,0,35.1,-19.84,2.08,0,10,80,20,0,0,5,0,0,19.95,6729543.03,2.08,0,10,80,20,0,0,5,0,0,19.95,6729543.03
India,Albania,2013,EXPIMP,Fuels,0,161807.45,,99.56,0.44,-7.13,-19.15,0,0,1,0,100,0,0,0,0,0,0,161807.45,0,0,1,0,100,0,0,0,0,0,0,161807.45
India,United Arab Emirates,2013,EXPIMP,Fuels,5584636.79,14104323.47,16.43,42.79,0.59,-42.87,-64.17,5.22,0.71,41,92.68,7.32,0,0,10,0,0,2051319.24,12053004.22,5.22,0.71,41,92.68,7.32,0,0,10,0,0,2051319.24,12053004.22
India,Argentina,2013,EXPIMP,Fuels,3712.43,2.28,0.55,0,0.1,17.28,70.58,5,5,1,100,0,0,0,5,5,0,2.28,0,5,5,1,100,0,0,0,5,5,0,2.28,0
India,Antigua and Barbuda,2013,EXPIMP,Fuels,0,7.48,,64.26,0.01,10.81,-26.4,5,5,1,100,0,0,0,5,5,0,7.48,0,5,5,1,100,0,0,0,5,5,0,7.48,0
India,Australia,2013,EXPIMP,Fuels,58360.63,5445138.7,2.43,50.08,0.03,-1.99,-72.55,5.77,2.2,29,89.66,10.34,0,0,10,0,0,5066031.12,379107.58,5.77,2.2,29,89.66,10.34,0,0,10,0,0,5066031.12,379107.58
India,Austria,2013,EXPIMP,Fuels,5243.87,1051.58,1.42,0.12,0,-6.13,15.86,3.25,2.34,12,83.33,16.67,0,0,5,0,0,1051.58,0,3.25,2.34,12,83.33,16.67,0,0,5,0,0,1051.58,0
India,Azerbaijan,2013,EXPIMP,Fuels,6.77,970669.64,0.01,99.32,,,,1.25,0.02,2,50,50,0,0,2.5,0,0,6539.72,964129.92,1.25,0.02,2,50,50,0,0,2.5,0,0,6539.72,964129.92
India,Belgium,2013,EXPIMP,Fuels,693933.61,5897.47,10.12,0.06,0.49,1.08,30.51,6.83,5.2,29,93.1,6.9,0,0,10,0,0,5897.47,0,6.83,5.2,29,93.1,6.9,0,0,10,0,0,5897.47,0
India,Bangladesh,2013,EXPIMP,Fuels,161946.61,17939.15,2.7,3.38,0.04,-5.72,-57.92,5,5,6,100,0,0,0,5,5,0,17939.15,0,5,5,6,100,0,0,0,5,5,0,17939.15,0
India,Bulgaria,2013,EXPIMP,Fuels,756.78,26.04,0.4,0.03,0.01,-1.46,-2.83,5,5,5,100,0,0,0,5,5,0,26.04,0,5,5,5,100,0,0,0,5,5,0,26.04,0
India,Bahrain,2013,EXPIMP,Fuels,222629.06,367986.65,32.33,61.97,0,47.82,-93.74,4.17,2.11,23,91.3,8.7,0,0,5,0,0,170947.77,197038.89,4.17,2.11,23,91.3,8.7,0,0,5,0,0,170947.77,197038.89
India,"Bahamas, The",2013,EXPIMP,Fuels,749208.17,94999.63,96.88,99,,,,2.08,0,10,80,20,0,0,5,0,0,43.7,94955.93,2.08,0,10,80,20,0,0,5,0,0,43.7,94955.93
India,Brazil,2013,EXPIMP,Fuels,3009524.7,1788346.29,49.24,46.67,2.68,6.32,23.28,6.15,0,21,90.48,9.52,0,0,10,0,0,592.4,1787753.89,6.15,0,21,90.48,9.52,0,0,10,0,0,592.4,1787753.89
India,Brunei,2013,EXPIMP,Fuels,0,764147.57,,99.75,0,-10.96,-95.47,2.5,0.3,2,50,50,0,0,5,0,0,46295.76,717851.81,2.5,0.3,2,50,50,0,0,5,0,0,46295.76,717851.81
India,Bhutan,2013,EXPIMP,Fuels,61823.12,426.61,38.24,0.31,,,,6.17,9.76,5,80,20,0,0,10,0,0,426.61,0,6.17,9.76,5,80,20,0,0,10,0,0,426.61,0
India,Canada,2013,EXPIMP,Fuels,62443.9,175927.48,2.71,5.85,0.51,-1.14,19.07,5.82,2.36,35,94.29,5.71,0,0,10,0,0,175927.48,0,5.82,2.36,35,94.29,5.71,0,0,10,0,0,175927.48,0
India,Switzerland,2013,EXPIMP,Fuels,646997.34,327.54,36.39,0,0,-8.76,-66.56,5.83,4.22,21,95.24,4.76,0,0,10,0,0,327.54,0,5.83,4.22,21,95.24,4.76,0,0,10,0,0,327.54,0
India,Chile,2013,EXPIMP,Fuels,1956.7,69383,0.28,2.14,0.01,-2.83,20.57,2.42,2.37,4,75,25,0,0,5,0,0,69383,0,2.42,2.37,4,75,25,0,0,5,0,0,69383,0
India,China,2013,EXPIMP,Fuels,739683.96,553753.17,4.51,1.07,0.06,0.35,-39.66,5.9,7.44,49,95.92,4.08,0,0,10,0,0,553753.17,0,5.9,7.44,49,95.92,4.08,0,0,10,0,0,553753.17,0
India,Cameroon,2013,EXPIMP,Fuels,12730.2,257481.28,4.12,88.39,0.23,-11.02,-10.36,0,0,1,0,100,0,0,0,0,0,0,257481.28,0,0,1,0,100,0,0,0,0,0,0,257481.28
India,"Congo, Rep.",2013,EXPIMP,Fuels,302.9,274.06,0.13,0.3,0.02,,,5,5,4,100,0,0,0,5,5,0,274.06,0,5,5,4,100,0,0,0,5,5,0,274.06,0
India,Colombia,2013,EXPIMP,Fuels,1004.05,4158946.66,0.1,96.86,0.01,6.23,-78.5,4.12,0.21,18,83.33,16.67,0,0,10,0,0,99355.07,4059591.59,4.12,0.21,18,83.33,16.67,0,0,10,0,0,99355.07,4059591.59
India,Costa Rica,2013,EXPIMP,Fuels,533.57,325.91,0.63,0.15,0.06,-0.33,-17.98,4.17,4.17,9,88.89,11.11,0,0,5,0,0,325.91,0,4.17,4.17,9,88.89,11.11,0,0,5,0,0,325.91,0
India,Cyprus,2013,EXPIMP,Fuels,0,1.37,,0.01,0,-8.67,-95.57,5,5,1,100,0,0,0,5,5,0,1.37,0,5,5,1,100,0,0,0,5,5,0,1.37,0
